name,height_m
One World Trade Center,541.3
Central Park Tower,472.4
Willis Tower,442.1
111 West 57th Street,435.3
One Vanderbilt,427.0
432 Park Avenue,425.7
Trump International Hotel and Tower,423.2
30 Hudson Yards,387.1
Empire State Building,381.0
Bank of America Tower,365.8
St. Regis Chicago,362.9
